SKU,Thickness,Dimension,Width in Inches,Length in Inches,Width in mm,Length in mm,Weight (kg),is_round
MRC-MR-0258,1mm,41.7 x 78.5 Inch,41.7,78.5,1059,1994,3.722,
MRC-MR-0259,1.5mm,12.2 x 24.5 Inch,12.2,24.5,310,622,1.037,
MRC-MR-0260,1.5mm,17.2 x 29.5 Inch,17.2,29.5,437,749,1.645,
MRC-MR-0261,1.5mm,17.2 x  32.5 Inch,17.2,32.5,437,826,1.709,
MRC-MR-0262,1.5mm,18.5 x 18.5 Inch,18.5,18.5,470,470,1.083,
MRC-MR-0263,1.5mm,18.2 x 35.5 Inch,18.2,35.5,462,902,1.818,
MRC-MR-0264,1.5mm,18.2 x 36.5 Inch,18.2,36.5,462,927,1.84,
MRC-MR-0265,1.5mm,18.2 x 37.5 Inch,18.2,37.5,462,952,1.513,
MRC-MR-0266,1.5mm,18.2 x 42.7 Inch,18.2,42.7,462,1085,1.626,
MRC-MR-0267,1.5mm,19.2 x 66.8 Inch,19.2,66.8,488,1697,2.603,
MRC-MR-0268,1.5mm,21.2 x 34.5 Inch,21.2,34.5,538,876,3.573,
MRC-MR-0269,1.5mm,23 Inch Round Dia,23.0,23.0,584,584,,yes
MRC-MR-0270,1.5mm,23.4 x 35.6 Inch,23.4,35.6,594,904,,
MRC-MR-0271,1.5mm,24 Inch Round Dia,24.0,24.0,610,610,,yes
MRC-MR-0272,1.5mm,24.2 x 36.7 Inch,24.2,36.7,615,932,1.762,
MRC-MR-0273,1.5mm,24.2 x 48.7 Inch,24.2,48.7,615,1237,3.124,
MRC-MR-0274,1.5mm,27.4 x 52.2 Inch,27.4,52.2,696,1326,2.807,
MRC-MR-0275,1.5mm,27.5 x 48.5 Inch,27.5,48.5,698,1232,2.664,
MRC-MR-0276,1.5mm,28.5 x 28.5 Inch,28.5,28.5,724,724,1.661,
MRC-MR-0277,1.5mm,28.2 x 44.7 Inch,28.2,44.7,716,1135,2.575,
MRC-MR-0278,1.5mm,28.2 x 60.75 Inch,28.2,60.75,716,1543,2.789,
MRC-MR-0279,1.5mm,30.5 x 30.5 Inch,30.5,30.5,775,775,1.807,
MRC-MR-0280,1.5mm,30.2 x 36.7 Inch,30.2,36.7,767,932,2.034,
MRC-MR-0281,1.5mm,30.2 x 45.7 Inch,30.2,45.7,767,1161,2.723,
MRC-MR-0282,1.5mm,30.2 x 46.7 Inch,30.2,46.7,767,1186,2.761,
MRC-MR-0283,1.5mm,30.2 x 47.7 Inch,30.2,47.7,767,1212,2.799,
MRC-MR-0284,1.5mm,30.2 x 48.7 Inch,30.2,48.7,767,1237,2.837,
MRC-MR-0285,1.5mm,30.2 x 49.7 Inch,30.2,49.7,767,1262,2.524,
MRC-MR-0286,1.5mm,30.2 x 50.7 Inch,30.2,50.7,767,1288,2.562,
MRC-MR-0287,1.5mm,30.2 x 51.75 Inch,30.2,51.75,767,1314,2.6,
MRC-MR-0288,1.5mm,30.2 x 52.75 Inch,30.2,52.75,767,1340,2.638,
MRC-MR-0289,1.5mm,30.2 x 53.75 Inch,30.2,53.75,767,1365,2.675,
MRC-MR-0290,1.5mm,30.2 x 54.75 Inch,30.2,54.75,767,1391,2.713,
MRC-MR-0291,1.5mm,30.2 x 55.75 Inch,30.2,55.75,767,1416,2.751,
MRC-MR-0292,1.5mm,30.2 x 56.75 Inch,30.2,56.75,767,1441,2.789,
MRC-MR-0293,1.5mm,30.2 x 57.75 Inch,30.2,57.75,767,1467,2.826,
MRC-MR-0294,1.5mm,30.2 x 58.75 Inch,30.2,58.75,767,1492,2.864,
MRC-MR-0295,1.5m,30.2 x 59.75 Inch,30.2,59.75,767,1518,,
MRC-MR-0296,1.5mm,30.2 x 60.75 Inch,30.2,60.75,767,1543,2.94,
MRC-MR-0297,1.5mm,31 Inch Round Dia,31.0,31.0,787,787,,yes
MRC-MR-0298,1.5mm,31.2 x 45.7 Inch,31.2,45.7,792,1161,2.78,
MRC-MR-0299,1.5mm,31.2 x 46.7 Inch,31.2,46.7,792,1186,2.819,
MRC-MR-0300,1.5mm,31.2 x 47.7 Inch,31.2,47.7,792,1212,2.508,
MRC-MR-0301,1.5mm,31.2 x 48.7 Inch,31.2,48.7,792,1237,2.547,
MRC-MR-0302,1.5mm,31.2 x 49.7 Inch,31.2,49.7,792,1262,2.586,
MRC-MR-0303,1.5mm,31.2 x 50.7 Inch,31.2,50.7,792,1288,2.625,
MRC-MR-0304,1.5mm,31.2 x 51.75 Inch,31.2,51.75,792,1314,3.664,
MRC-MR-0305,1.5mm,31.2 x 52.75 Inch,31.2,52.75,792,1340,2.703,
MRC-MR-0306,1.5mm,31.2 x 53.75 Inch,31.2,53.75,792,1365,2.742,
MRC-MR-0307,1.5mm,31.2 x 54.75 Inch,31.2,54.75,792,1391,2.781,
MRC-MR-0308,1.5mm,31.2 x 55.75 Inch,31.2,55.75,792,1416,2.82,
MRC-MR-0309,1.5mm,31.2 x 56.75 Inch,31.2,56.75,792,1441,2.859,
MRC-MR-0310,1.5mm,31.2 x 57.75 Inch,31.2,57.75,792,1467,2.898,
MRC-MR-0311,1.5mm,31.2 x 58.75 Inch,31.2,58.75,792,1492,2.937,
MRC-MR-0312,1.5mm,31.2 x 59.75 Inch,31.2,59.75,792,1518,2.976,
MRC-MR-0313,1.5mm,31.2 x 60.75 Inch,31.2,60.75,792,1543,3.015,
MRC-MR-0315,1.5mm,32.2 x 45.7 Inch,32.2,45.7,818,1161,2.837,
MRC-MR-0316,1.5mm,32.2 x 46.7 Inch,32.2,46.7,818,1186,2.527,
MRC-MR-0317,1.5mm,32.2 x 47.7 Inch,32.2,47.7,818,1212,2.567,
MRC-MR-0318,1.5mm,32.2 x 48.7 Inch,32.2,48.7,818,1237,2.607,
MRC-MR-0319,1.5mm,32.2 x 49.7 Inch,32.2,49.7,818,1262,2.648,
MRC-MR-0320,1.5mm,32.2 x 50.7 Inch,32.2,50.7,818,1288,2.688,
MRC-MR-0321,1.5mm,32.2 x 51.75 Inch,32.2,51.75,818,1314,2.728,
MRC-MR-0322,1.5mm,32.2 x 52.75 Inch,32.2,52.75,818,1340,2.768,
MRC-MR-0323,1.5mm,32.2 x 53.75 Inch,32.2,53.75,818,1365,2.809,
MRC-MR-0324,1.5mm,32.2 x 54.75 Inch,32.2,54.75,818,1391,2.849,
MRC-MR-0325,1.5mm,32.2 x 55.75 Inch,32.2,55.75,818,1416,2.889,
MRC-MR-0326,1.5mm,32.2 x 56.75 Inch,32.2,56.75,818,1441,2.929,
MRC-MR-0327,1.5mm,32.2 x 57.75 Inch,32.2,57.75,818,1467,2.97,
MRC-MR-0328,1.5mm,32.2 x 58.75 Inch,32.2,58.75,818,1492,3.01,
MRC-MR-0329,1.5mm,32.2 x 59.75 Inch,32.2,59.75,818,1518,3.05,
MRC-MR-0330,1.5mm,32.2 x 60.75 Inch,32.2,60.75,818,1543,3.09,
MRC-MR-0331,1.5mm,33.2 x 45.7 Inch,33.2,45.7,843,1161,2.543,
MRC-MR-0332,1.5mm,33.2 x 46.7 Inch,33.2,46.7,843,1186,2.585,
MRC-MR-0333,1.5mm,33.2 x 47.7 Inch,33.2,47.7,843,1212,2.626,
MRC-MR-0334,1.5mm,33.2 x 48.7 Inch,33.2,48.7,843,1237,2.668,
MRC-MR-0335,1.5mm,33.2 x 49.7 Inch,33.2,49.7,843,1262,2.709,
MRC-MR-0336,1.5mm,33.2 x 50.7 Inch,33.2,50.7,843,1288,2.751,
MRC-MR-0337,1.5mm,33.2 x 51.75 Inch,33.2,51.75,843,1314,2.792,
MRC-MR-0338,1.5mm,33.2 x 52.75 Inch,33.2,52.75,843,1340,2.834,
MRC-MR-0339,1.5mm,33.2 x 53.75 Inch,33.2,53.75,843,1365,2.875,
MRC-MR-0340,1.5mm,33.2 x 54.75 Inch,33.2,54.75,843,1391,2.917,
MRC-MR-0341,1.5mm,33.2 x 55.75 Inch,33.2,55.75,843,1416,2.958,
MRC-MR-0342,1.5mm,33.2 x 56.75 Inch,33.2,56.75,843,1441,3.0,
MRC-MR-0343,1.5mm,33.2 x 57.75 Inch,33.2,57.75,843,1467,3.041,
MRC-MR-0344,1.5mm,33.2 x 58.75 Inch,33.2,58.75,843,1492,3.083,
MRC-MR-0345,1.5mm,33.2 x 59.75 Inch,33.2,59.75,843,1518,3.124,
MRC-MR-0346,1.5mm,33.2 x 60.75 Inch,33.2,60.75,843,1543,3.166,
MRC-MR-0348,1.5mm,34 Inch Round Dia,34.0,34.0,864,864,,yes
MRC-MR-0349,1.5mm,34.2 x 45.7 Inch,34.2,45.7,869,1161,2.6,
MRC-MR-0350,1.5mm,34.2 x 46.7 Inch,34.2,46.7,869,1186,2.643,
MRC-MR-0351,1.5mm,34.2 x 47.7 Inch,34.2,47.7,869,1212,2.685,
MRC-MR-0352,1.5mm,34.2 x 48.7 Inch,34.2,48.7,869,1237,2.728,
MRC-MR-0353,1.5mm,34.2 x 49.7 Inch,34.2,49.7,869,1262,2.771,
MRC-MR-0354,1.5mm,34.2 x 50.7 Inch,34.2,50.7,869,1288,2.814,
MRC-MR-0355,1.5mm,34.2 x 51.75 Inch,34.2,51.75,869,1314,2.856,
MRC-MR-0356,1.5mm,34.2 x 52.75 Inch,34.2,52.75,869,1340,2.899,
MRC-MR-0357,1.5mm,34.2 x 53.75 Inch,34.2,53.75,869,1365,2.942,
MRC-MR-0358,1.5mm,34.2 x 54.75 Inch,34.2,54.75,869,1391,2.985,
MRC-MR-0359,1.5mm,34.2 x 55.75 Inch,34.2,55.75,869,1416,3.028,
MRC-MR-0360,1.5mm,34.2 x 56.75 Inch,34.2,56.75,869,1441,3.07,
MRC-MR-0361,1.5mm,34.2 x 57.75 Inch,34.2,57.75,869,1467,3.113,
MRC-MR-0362,1.5mm,34.2 x 58.75 Inch,34.2,58.75,869,1492,3.156,
MRC-MR-0363,1.5mm,34.2 x 59.75 Inch,34.2,59.75,869,1518,3.199,
MRC-MR-0364,1.5mm,34.2 x 60.75 Inch,34.2,60.75,869,1543,3.591,
MRC-MR-0365,1.5mm,35 Inch Round Dia,35.0,35.0,889,889,,yes
MRC-MR-0366,1.5mm,35.5 x 35.5 Inch,35.5,35.5,902,902,2.566,
MRC-MR-0367,1.5mm,35.2 x 45.7 Inch,35.2,45.7,894,1161,2.656,
MRC-MR-0368,1.5mm,35.2 x 46.7 Inch,35.2,46.7,894,1186,2.7,
MRC-MR-0369,1.5mm,35.2 x 47.7 Inch,35.2,47.7,894,1212,2.745,
MRC-MR-0370,1.5mm,35.2 x 48.7 Inch,35.2,48.7,894,1237,2.789,
MRC-MR-0371,1.5mm,35.2 x 49.7 Inch,35.2,49.7,894,1262,2.833,
MRC-MR-0372,1.5mm,35.2 x 50.7 Inch,35.2,50.7,894,1288,2.877,
MRC-MR-0373,1.5mm,35.2 x 51.75 Inch,35.2,51.75,894,1314,2.921,
MRC-MR-0374,1.5mm,35.2 x 52.75 Inch,35.2,52.75,894,1340,2.965,
MRC-MR-0375,1.5mm,35.2 x 53.75 Inch,35.2,53.75,894,1365,3.009,
MRC-MR-0376,1.5mm,35.2 x 54.75 Inch,35.2,54.75,894,1391,3.053,
MRC-MR-0377,1.5mm,35.2 x 55.75 Inch,35.2,55.75,894,1416,3.097,
MRC-MR-0378,1.5mm,35.2 x 56.75 Inch,35.2,56.75,894,1441,3.141,
MRC-MR-0379,1.5mm,35.2 x 57.75 Inch,35.2,57.75,894,1467,3.185,
MRC-MR-0380,1.5mm,35.2 x 58.75 Inch,35.2,58.75,894,1492,3.579,
MRC-MR-0381,1.5mm,35.2 x 59.75 Inch,35.2,59.75,894,1518,3.623,
MRC-MR-0382,1.5mm,35.2 x 60.75 Inch,35.2,60.75,894,1543,3.667,
MRC-MR-0383,1.5mm,35.2 x 68.8 Inch,35.2,68.8,894,1748,3.669,
MRC-MR-0385,1.5mm,36.2 x 45.7 Inch,36.2,45.7,919,1161,2.713,
MRC-MR-0386,1.5mm,36.2 x 46.7 Inch,36.2,46.7,919,1186,2.758,
MRC-MR-0387,1.5mm,36.2 x 47.7 Inch,36.2,47.7,919,1212,2.804,
MRC-MR-0388,1.5mm,36.2x 48.7 Inch,36.2,48.7,919,1237,2.849,
MRC-MR-0389,1.5mm,36.2 x 49.7 Inch,36.2,49.7,919,1262,2.894,
MRC-MR-0390,1.5mm,36.2 x 50.7 Inch,36.2,50.7,919,1288,2.94,
MRC-MR-0391,1.5mm,36.2 x 51.75 Inch,36.2,51.75,919,1314,2.985,
MRC-MR-0392,1.5mm,36.2 x 52.75 Inch,36.2,52.75,919,1340,3.03,
MRC-MR-0393,1.5mm,36.2 x 53.75 Inch,36.2,53.75,919,1365,3.075,
MRC-MR-0394,1.5mm,36.2 x 54.75 Inch,36.2,54.75,919,1391,3.121,
MRC-MR-0395,1.5mm,36.2 x 55.75 Inch,36.2,55.75,919,1416,3.166,
MRC-MR-0396,1.5mm,36.2 x 56.75 Inch,36.2,56.75,919,1441,3.561,
MRC-MR-0397,1.5mm,36.2 x 57.75 Inch,36.2,57.75,919,1467,3.607,
MRC-MR-0398,1.5mm,36.2 x 58.75 Inch,36.2,58.75,919,1492,3.652,
MRC-MR-0399,1.5mm,36.2 x 59.75 Inch,36.2,59.75,919,1518,3.697,
MRC-MR-0400,1.5mm,36.2 x 60.75 Inch,36.2,60.75,919,1543,3.742,
MRC-MR-0401,1.5mm,36.2 x 66.8 Inch,36.2,66.8,919,1697,3.664,
MRC-MR-0402,1.5mm,36.2 x 85 Inch,36.2,85.0,919,2159,4.829,
MRC-MR-0403,1.5mm,37.2 x 45.7 Inch,37.2,45.7,945,1161,2.77,
MRC-MR-0404,1.5mm,37.2 x 46.7 Inch,37.2,46.7,945,1186,2.816,
MRC-MR-0405,1.5mm,37.2 x 47.7 Inch,37.2,47.7,945,1212,2.863,
MRC-MR-0406,1.5mm,37.2 x 48.7 Inch,37.2,48.7,945,1237,2.909,
MRC-MR-0407,1.5mm,37.2 x 49.7 Inch,37.2,49.7,945,1262,2.956,
MRC-MR-0408,1.5mm,37.2 x 50.7 Inch,37.2,50.7,945,1288,3.002,
MRC-MR-0409,1.5mm,37.2 x 51.75 Inch,37.2,51.75,945,1314,3.049,
MRC-MR-0410,1.5mm,37.2 x 52.75 Inch,37.2,52.75,945,1340,3.096,
MRC-MR-0411,1.5mm,37.2 x 53.75 Inch,37.2,53.75,945,1365,3.142,
MRC-MR-0412,1.5mm,37.2 x 54.75 Inch,37.2,54.75,945,1391,3.189,
MRC-MR-0413,1.5mm,37.2 x 55.75 Inch,37.2,55.75,945,1416,3.585,
MRC-MR-0414,1.5mm,37.2 x 56.75 Inch,37.2,56.75,945,1441,3.632,
MRC-MR-0415,1.5mm,37.2 x 57.75 Inch,37.2,57.75,945,1467,3.678,
MRC-MR-0416,1.5mm,37.2 x 58.75 Inch,37.2,58.75,945,1492,3.725,
MRC-MR-0417,1.5mm,37.2 x 59.75 Inch,37.2,59.75,945,1518,3.771,
MRC-MR-0418,1.5mm,37.2 x 60.75 Inch,37.2,60.75,945,1543,3.818,
MRC-MR-0419,1.5mm,38.2 x 45.7 Inch,38.2,45.7,970,1161,2.826,
MRC-MR-0420,1.5mm,38.2 x 46.7 Inch,38.2,46.7,970,1186,2.874,
MRC-MR-0422,1.5mm,38.2 x 48.7 Inch,38.2,48.7,970,1237,2.97,
MRC-MR-0421,1.5mm,38.2 x 47.7 Inch,38.2,47.7,970,1212,2.922,
MRC-MR-0423,1.5mm,38.2 x 49.7 Inch,38.2,49.7,970,1262,3.018,
MRC-MR-0424,1.5mm,38.2 x 50.7 Inch,38.2,50.7,970,1288,3.065,
MRC-MR-0425,1.5mm,38.2 x 51.75 Inch,38.2,51.75,970,1314,3.113,
MRC-MR-0426,1.5mm,38.2 x 52.75 Inch,38.2,52.75,970,1340,3.161,
MRC-MR-0427,1.5mm,38.2 x 5375 Inch,38.2,5375.0,970,136525,3.559,
MRC-MR-0428,1.5mm,38.2 x 54.75 Inch,38.2,54.75,970,1391,3.607,
MRC-MR-0429,1.5mm,38.2 x 55.75 Inch,38.2,55.75,970,1416,3.654,
MRC-MR-0430,1.5mm,38.2 x 56.75 Inch,38.2,56.75,970,1441,3.702,
MRC-MR-0431,1.5mm,38.2 x 57.75 Inch,38.2,57.75,970,1467,3.75,
MRC-MR-0432,1.5mm,38.2 x 58.75 Inch,38.2,58.75,970,1492,3.798,
MRC-MR-0433,1.5mm,38.2 x 59.75 Inch,38.2,59.75,970,1518,3.846,
MRC-MR-0434,1.5mm,38.2 x 60.75 Inch,38.2,60.75,970,1543,3.543,
MRC-MR-0435,1.5mm,38.2 x 63.8 Inch,38.2,63.8,970,1621,3.687,
MRC-MR-0436,1.5mm,39.2 x 45.7 Inch,39.2,45.7,996,1161,2.883,
MRC-MR-0437,1.5mm,39.2 x 46.7 Inch,39.2,46.7,996,1186,2.932,
MRC-MR-0438,1.5mm,39.2 x 47.7 Inch,39.2,47.7,996,1212,2.981,
MRC-MR-0439,1.5mm,39.2 x 48.7 Inch,39.2,48.7,996,1237,3.03,
MRC-MR-0440,1.5mm,39.2 x 49.7 Inch,39.2,49.7,996,1262,3.079,
MRC-MR-0441,1.5mm,39.2 x 50.7 Inch,39.2,50.7,996,1288,3.128,
MRC-MR-0442,1.5mm,39.2x 51.75 Inch,39.2,51.75,996,1314,3.177,
MRC-MR-0443,1.5mm,39.2 x 52.75 Inch,39.2,52.75,996,1340,3.576,
MRC-MR-0444,1.5mm,39.2 x 53.75 Inch,39.2,53.75,996,1365,3.625,
MRC-MR-0445,1.5mm,39.2 x 54.75 Inch,39.2,54.75,996,1391,3.674,
MRC-MR-0446,1.5mm,39.2 x 55.75 Inch,39.2,55.75,996,1416,3.724,
MRC-MR-0447,1.5mm,39.2x 56.75 Inch,39.2,56.75,996,1441,3.773,
MRC-MR-0448,1.5mm,39.2 x 57.75 Inch,39.2,57.75,996,1467,3.822,
MRC-MR-0449,1.5mm,39.2 x 58.75 Inch,39.2,58.75,996,1492,3.521,
MRC-MR-0450,1.5mm,39.2 x 59.75 Inch,39.2,59.75,996,1518,3.57,
MRC-MR-0451,1.5mm,39.2 x 60.75 Inch,39.2,60.75,996,1543,3.619,
MRC-MR-0452,1.5mm,40.5 x 40.5 Inch,40.5,40.5,1029,1029,2.688,
MRC-MR-0453,1.5mm,40.2 x 45.7 Inch,40.2,45.7,1021,1161,2.94,
MRC-MR-0454,1.5mm,40.2 x 46.7 Inch,40.2,46.7,1021,1186,2.99,
MRC-MR-0455,1.5mm,40.2 x 47.7 Inch,40.2,47.7,1021,1212,3.04,
MRC-MR-0456,1.5mm,40.2 x 48.7 Inch,40.2,48.7,1021,1237,3.09,
MRC-MR-0457,1.5mm,40.2 x 49.7 Inch,40.2,49.7,1021,1262,3.141,
MRC-MR-0458,1.5mm,40.2 x 50.7 Inch,40.2,50.7,1021,1288,3.191,
MRC-MR-0459,1.5mm,40.2 x 51.75 Inch,40.2,51.75,1021,1314,3.591,
MRC-MR-0460,1.5mm,40.2 x 52.75 Inch,40.2,52.75,1021,1340,3.642,
MRC-MR-0461,1.5mm,40.7 x 53.75 Inch,40.7,53.75,1034,1365,3.692,
MRC-MR-0462,1.5mm,40.2 x 54.75 Inch,40.2,54.75,1021,1391,3.742,
MRC-MR-0463,1.5mm,40.2 x 55.75 Inch,40.2,55.75,1021,1416,3.793,
MRC-MR-0464,1.5mm,40.2 x 56.75 Inch,40.2,56.75,1021,1441,3.843,
MRC-MR-0465,1.5mm,40.2 x 57.75 Inch,40.2,57.75,1021,1467,3.543,
MRC-MR-0466,1.5mm,40.2 x 58.75 Inch,40.2,58.75,1021,1492,3.594,
MRC-MR-0467,1.5mm,40.2 x 59.75 Inch,40.2,59.75,1021,1518,3.644,
MRC-MR-0468,1.5mm,40.2 x 60.75 Inch,40.2,60.75,1021,1543,3.694,
MRC-MR-0469,1.5mm,40.2 x 65.8 Inch,40.2,65.8,1021,1671,3.946,
MRC-MR-0470,1.5mm,41.2 x 45.7 Inch,41.2,45.7,1046,1161,2.996,
MRC-MR-0471,1.5mm,41.2 x 46.7 Inch,41.2,46.7,1046,1186,3.048,
MRC-MR-0472,1.5mm,41.2 x 47.7 Inch,41.2,47.7,1046,1212,3.099,
MRC-MR-0473,1.5mm,41.2 x 48.7 Inch,41.2,48.7,1046,1237,3.151,
MRC-MR-0474,1.5mm,41.2 x 49.7 Inch,41.2,49.7,1046,1262,3.552,
MRC-MR-0475,1.5mm,41.2 x 50.7 Inch,41.2,50.7,1046,1288,3.604,
MRC-MR-0476,1.5mm,41.2x 51.75 Inch,41.2,51.75,1046,1314,3.656,
MRC-MR-0477,1.5mm,41.2 x 52.75 Inch,41.2,52.75,1046,1340,3.707,
MRC-MR-0478,1.5mm,41.2 x 53.75 Inch,41.2,53.75,1046,1365,3.759,
MRC-MR-0479,1.5mm,41.2 x 54.75 Inch,41.2,54.75,1046,1391,3.81,
MRC-MR-0480,1.5mm,41.2 x 55.75 Inch,41.2,55.75,1046,1416,3.512,
MRC-MR-0481,1.5mm,41.2 x 56.75 Inch,41.2,56.75,1046,1441,3.564,
MRC-MR-0482,1.5mm,41.2 x 57.75 Inch,41.2,57.75,1046,1467,3.615,
MRC-MR-0483,1.5mm,41.2 x 58.75 Inch,41.2,58.75,1046,1492,3.667,
MRC-MR-0484,1.5mm,41.2 x 59.75 Inch,41.2,59.75,1046,1518,3.718,
MRC-MR-0485,1.5mm,41.2 x 60.75 Inch,41.2,60.75,1046,1543,3.77,
MRC-MR-0486,1.5mm,41.2 x 65.8 Inch,41.2,65.8,1046,1671,4.028,
MRC-MR-0487,1.5mm,42.2 x 45.7 Inch,42.2,45.7,1072,1161,3.053,
MRC-MR-0488,1.5mm,42.2 x 46.7 Inch,42.2,46.7,1072,1186,3.106,
MRC-MR-0489,1.5mm,42.2 x 47.7 Inch,42.2,47.7,1072,1212,3.158,
MRC-MR-0490,1.5mm,42.2 x 48.7 Inch,42.2,48.7,1072,1237,3.561,
MRC-MR-0491,1.5mm,42.2 x 49.7 Inch,42.2,49.7,1072,1262,3.614,
MRC-MR-0492,1.5mm,42.2 x 50.7 Inch,42.2,50.7,1072,1288,3.667,
MRC-MR-0493,1.5mm,42.2 x 51.75 Inch,42.2,51.75,1072,1314,3.72,
MRC-MR-0494,1.5mm,42.2 x 52.75 Inch,42.2,52.75,1072,1340,3.773,
MRC-MR-0495,1.5mm,42.2 x 53.75 Inch,42.2,53.75,1072,1365,3.825,
MRC-MR-0496,1.5mm,42.2 x 54.75 Inch,42.2,54.75,1072,1391,3.528,
MRC-MR-0497,1.5mm,42.2 x 55.75 Inch,42.2,55.75,1072,1416,3.581,
MRC-MR-0498,1.5mm,42.2 x 56.75 Inch,42.2,56.75,1072,1441,3.634,
MRC-MR-0499,1.5mm,42.2 x 57.75 Inch,42.2,57.75,1072,1467,3.687,
MRC-MR-0500,1.5mm,42.2 x 58.75 Inch,42.2,58.75,1072,1492,3.74,
MRC-MR-0501,1.5mm,42.2 x 59.75 Inch,42.2,59.75,1072,1518,3.792,
MRC-MR-0502,1.5mm,42.2 x 60.75 Inch,42.2,60.75,1072,1543,3.845,
MRC-MR-0503,1.5mm,42.2 x 72.8 Inch,42.2,72.8,1072,1849,4.829,
MRC-MR-0504,1.5mm,45.5 x 45.5 Inch,45.5,45.5,1156,1156,3.573,
MRC-MR-0505,1.5mm,45.2 x 65.8 Inch,45.2,65.8,1148,1671,4.705,
MRC-MR-0506,1.5mm,46.2 x 57.75 Inch,46.2,57.75,1173,1467,3.974,
MRC-MR-0507,1.5mm,46.2 x 64.8 Inch,46.2,64.8,1173,1646,4.729,
MRC-MR-0508,1.5mm,46.2 x 68.8 Inch,46.2,68.8,1173,1748,4.61,
